timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/08/12 22:33:05.961, 32 %, 1505 MiB, 21.59 W
2026/08/12 22:33:06.966, 33 %, 1505 MiB, 21.51 W
2026/08/12 22:33:07.967, 33 %, 1505 MiB, 21.54 W
2026/08/12 22:33:08.968, 33 %, 1505 MiB, 21.53 W
2026/08/12 22:33:09.969, 33 %, 1500 MiB, 21.51 W
2026/08/12 22:33:10.970, 33 %, 1500 MiB, 21.51 W
2026/08/12 22:33:11.971, 32 %, 1500 MiB, 21.50 W
2026/08/12 22:33:12.972, 33 %, 1500 MiB, 21.51 W
2026/08/12 22:33:13.973, 33 %, 1499 MiB, 21.63 W
2026/08/12 22:33:14.974, 31 %, 1498 MiB, 21.59 W
2026/08/12 22:33:15.975, 34 %, 1498 MiB, 21.75 W
2026/08/12 22:33:16.976, 34 %, 1498 MiB, 21.77 W
2026/08/12 22:33:17.977, 31 %, 1498 MiB, 21.80 W
2026/08/12 22:33:18.978, 33 %, 1498 MiB, 21.82 W
2026/08/12 22:33:19.979, 33 %, 1498 MiB, 21.90 W
2026/08/12 22:33:20.980, 31 %, 1498 MiB, 21.80 W
2026/08/12 22:33:21.981, 33 %, 1498 MiB, 21.90 W
2026/08/12 22:33:22.984, 32 %, 1497 MiB, 21.88 W
2026/08/12 22:33:23.997, 23 %, 1512 MiB, 21.64 W
2026/08/12 22:33:25.020, 25 %, 1512 MiB, 21.54 W
2026/08/12 22:33:26.041, 22 %, 1508 MiB, 21.58 W
2026/08/12 22:33:27.061, 26 %, 1510 MiB, 21.80 W
2026/08/12 22:33:28.075, 17 %, 1511 MiB, 20.75 W
2026/08/12 22:33:29.082, 18 %, 1510 MiB, 20.71 W
2026/08/12 22:33:30.098, 14 %, 1511 MiB, 20.32 W
2026/08/12 22:33:31.114, 11 %, 1514 MiB, 20.39 W
2026/08/12 22:33:32.125, 16 %, 1513 MiB, 20.39 W
2026/08/12 22:33:33.126, 12 %, 1508 MiB, 20.43 W
2026/08/12 22:33:34.144, 14 %, 1508 MiB, 20.35 W
2026/08/12 22:33:35.163, 17 %, 1507 MiB, 20.39 W
2026/08/12 22:33:36.173, 15 %, 1507 MiB, 20.51 W
2026/08/12 22:33:37.197, 27 %, 1507 MiB, 21.04 W
2026/08/12 22:33:38.223, 18 %, 1511 MiB, 20.40 W
2026/08/12 22:33:39.242, 23 %, 1507 MiB, 20.50 W
2026/08/12 22:33:40.251, 19 %, 1507 MiB, 20.89 W
2026/08/12 22:33:41.274, 23 %, 1506 MiB, 20.99 W
2026/08/12 22:33:42.276, 27 %, 1503 MiB, 20.92 W
2026/08/12 22:33:43.277, 41 %, 1503 MiB, 21.23 W
2026/08/12 22:33:44.280, 44 %, 1500 MiB, 21.60 W
2026/08/12 22:33:45.281, 42 %, 1500 MiB, 22.34 W
2026/08/12 22:33:46.281, 20 %, 1500 MiB, 22.60 W
2026/08/12 22:33:47.283, 19 %, 1500 MiB, 22.80 W
2026/08/12 22:33:48.287, 43 %, 1505 MiB, 22.43 W
2026/08/12 22:33:49.291, 16 %, 1509 MiB, 22.03 W
2026/08/12 22:33:50.291, 17 %, 1509 MiB, 21.22 W
2026/08/12 22:33:51.292, 39 %, 1509 MiB, 21.46 W
2026/08/12 22:33:52.293, 31 %, 1509 MiB, 21.51 W
2026/08/12 22:33:53.302, 40 %, 1509 MiB, 21.56 W
